sample_id,national_id,Chinese_Name,English_Name,Personal_Name,Specialty,Positivity,Culture,Location,Ambiance,Pun_Creative,Relationship,Comments
3797,665,马来餐馆,Pinang Malaysian restaurant,,,,,1,,,,
499,6625,财源,China House,,,1,,,,,,
1007,30858,腾龙阁,Chinese Dragon Inc,,,1,1,,1,,,
3816,5680,"江南府
",Dim Sum House by Jane G's - University City,,,,,1,1,,,
3402,28486,中国酒楼,China House,,,,,1,1,,,
2735,9498,玉满堂,Jade Garden,,,1,,,1,,,
3190,3099,王家园,Wang's II Chinese Restaurant,1,,,,,1,,,
2321,511,华园,China Garden,,,,,1,1,,,
2969,20153,明月楼,China House Chinese Restaurant,,,,1,,1,,,
269,18768,新龙,NEW CHINA BUFFET,,,,1,,,,,
272,31774,万达楼,Wanda's Chinese Kitchen,,,1,,,1,,,
3697,7612,聚丰园,China Palace Restaurant,,,1,,,1,,,
732,31275,真光,Uncle Mao's Chinese Restaurant,,,,,,,,,
731,6176,聚满楼,Full House,,,1,,,1,,,
1915,9421,炎黄美食,YANHUANG Gourmet,,,1,1,,,,,
103,4695,华明,Mandarin Restaurant,,,1,,1,,,,
508,15992,北京,Beijing Buffet,,,,,1,,,,
852,22513,京露,Dew Drop Inn,,,,,1,,,,
3489,15800,东北小厨,Chou's Kitchen,,,,,1,1,,,
2843,13105,新中国,New China Chinese Restaurant,,,,,1,,,,
2356,8017,怡明园,Ming's Garden,1,,,,,1,,,
2034,12840,香港,Neuse River Chinese Restaurant,,,,,1,,,,
2988,24216,和牛花园,HE&C Tea + Pot,,1,,,,1,,,
3055,15955,重云,China Grand Buffet,,,,,,,,,
1941,2242,好彩,Ho Ho Choy Chinese Restaurant,,,,,,,,,
837,19854,熊城,Panda Palace,,,1,,,,,,
880,20695,亚洲园,Asian Garden,,,,,1,1,,,
1182,8473,山水亭,Yummy Taste Chinese Restaurant,,,,1,,1,,,
2124,5668,鸿福,King Food Restaurant,,,1,,,,,,
2912,5021,明珠,Mai Pearl,,,1,,,,,,
2872,15309,古为今用,Dynasty Cafe,,,,,,,1,,
3675,2885,海,Hai,,,,,,,,,海 is not enough alone
323,20223,面匠,Noodle Master,,1,1,,,,1,,
858,26772,北京,Peking Restaurant,,,,,1,,,,
1681,8257,福来,Hunan Royal,,,1,,,,,,
2854,20954,黄金点心茶楼,Golden Dim Sum,,1,1,,,1,,,
848,213,香港,Hong Kong Chinese Restaurant,,,,,1,,,,
1132,23377,华记,Won Kok Restaurant,,,,,1,,,,
1463,9178,金园,Golden Garden,,,1,,,1,,,
1112,10366,沁芳园,Qin-Fang Garden Restaurant,,,1,,,1,,,
1368,16454,天龙,Heaven Dragon Arvada,,,,1,,,,,
1037,5974,华北,North China,,,,,1,,,,
660,6458,好运来,Hong Kong Restaurant,,,1,,,,,,
2673,16654,"
长城",Great Wall,,,,1,,,,,
1346,1759,华星,China Star,,,1,,1,,,,
310,27196,好好运,Lucky House Restaurant,,,1,,,,,,
3052,30870,东方,Far East Buffet,,,,,1,,,,
815,27626,龙城,China Wok,,,,1,,1,,,
3002,4441,北苑,North Garden,,,,,1,1,,,
2992,8283,金,Golden Dynasty Chinese Takeout,,,1,,,,,,
1200,622,翠园,Jade Garden,,,1,,,1,,,
2215,22693,秦面坊,Meet Qin Noodle,1,1,,,,1,,,
862,28279,明珠,Ming Chu,,,1,,,,,,
2473,21725,宝华海鲜酒家,Powell's Seafood Restaurant,,1,1,,1,1,,,
4022,25932,香港三和,Sam Woo BBQ,,,,,1,,,,
2324,325,长城,Great Wall Chinese Restaurant,,,,1,,,,,
1759,10254,金龙,Golden Dragon Chinese Kitchen,,,1,1,,,,,
